family_id	family_number	n_spans	newick
family_001	1	4	(1,2,(((3,4)3-4,5,6)3-6,7,8,9,10,11,12)3-12)1-12;
family_002	2	4	(1,2,(3,((4,5,6,7,8,9,10)4-10,11,12)4-12)3-12)1-12;
