position	left_summed	left_capped	right_summed	right_capped
1	0	69	0	0
2	0	0	0	0
3	69	69	0	0
4	69	69	0	0
5	69	69	0	0
6	0	0	0	0
7	260	69	0	0
8	73	45	24	24
9	0	0	0	0
10	49	36	24	24
11	102	65	0	0
12	79	42	46	27
13	0	0	0	0
14	0	0	0	0
15	40	40	33	29
16	0	0	0	0
17	0	0	40	40
18	0	0	112	59
19	18	18	117	51
20	0	0	69	51
21	0	0	87	69
22	0	0	0	0
23	0	0	138	69
24	0	0	138	69
