family_id	family_number	n_spans	newick
family_026	26	14	(1,2,(3,(4,(5,6,((((7,(8,9,((10,(11,((12,13,14,15)12-15,16,17,18)12-18)11-18)10-18,19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_027	27	14	(1,2,(3,(4,(5,6,((((7,(8,9,((10,(11,(12,13,14,(15,16,17)15-17,18)12-18)11-18)10-18,19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_028	28	14	(1,2,(3,(4,(5,6,((((7,(8,9,(10,(((11,12)11-12,13,14,(15,16,17)15-17,18)11-18,19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_029	29	14	(1,2,(3,(4,(5,6,((((7,(8,9,(10,((11,((12,13,14,15)12-15,16,17,18)12-18)11-18,19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_030	30	14	(1,2,(3,(4,(5,6,((((7,(8,9,(10,((11,(12,13,14,(15,16,17)15-17,18)12-18)11-18,19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_031	31	14	(1,2,(3,(4,(5,6,((((7,(8,9,(10,(11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_032	32	14	(1,2,(3,(4,(5,6,((((7,(8,9,(10,(11,((12,13,14,(15,16,17)15-17,18)12-18,19)12-19)11-19)10-19)8-19)7-19,20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_033	33	13	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,((((11,12)11-12,13,14,(15,16,17)15-17,18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_034	34	13	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,(((11,((12,13,14,15)12-15,16,17,18)12-18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_035	35	13	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,(((11,(12,13,14,(15,16,17)15-17,18)12-18)11-18,19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_036	36	13	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,((11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_037	37	13	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,((11,((12,13,14,(15,16,17)15-17,18)12-18,19)12-19)11-19,20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_038	38	13	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,(11,((((12,13,14,15)12-15,16,17,18)12-18,19)12-19,20)12-20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
family_039	39	13	(1,2,(3,(4,(5,6,((((7,8)7-8,9,10,(11,(((12,13,14,(15,16,17)15-17,18)12-18,19)12-19,20)12-20)11-20)7-20,21)7-21,22,23)7-23)5-23,24)4-24)3-24)1-24;
