family_id	family_number	n_spans
family_001	1	13
family_002	2	13
family_003	3	13
family_004	4	13
family_005	5	13
family_006	6	13
family_007	7	13
family_008	8	13
family_009	9	13
family_010	10	13
family_011	11	13
family_012	12	13
family_013	13	13
family_014	14	13
family_015	15	13
family_016	16	13
family_017	17	13
family_018	18	13
family_019	19	13
family_020	20	13
family_021	21	13
family_022	22	13
family_023	23	13
family_024	24	13
family_025	25	13
family_026	26	13
family_027	27	13
family_028	28	13
family_029	29	13
family_030	30	13
family_031	31	13
family_032	32	13
family_033	33	12
family_034	34	12
family_035	35	12
family_036	36	12
family_037	37	12
family_038	38	12
family_039	39	12
family_040	40	12
family_041	41	12
family_042	42	12
family_043	43	12
family_044	44	12
family_045	45	12
family_046	46	12
family_047	47	11
family_048	48	11
family_049	49	11
family_050	50	11
family_051	51	11
family_052	52	11
family_053	53	11
family_054	54	11
family_055	55	11
family_056	56	11
family_057	57	11
family_058	58	11
family_059	59	11
family_060	60	11
family_061	61	11
family_062	62	11
family_063	63	10
family_064	64	10
family_065	65	10
family_066	66	10
family_067	67	10
family_068	68	9
family_069	69	9
