family_id	family_number	n_spans	newick
family_001	1	13	(1,(2,(3,4,((((5,((6,7,8)6-8,(9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_002	2	13	(1,(2,(3,4,((((5,((6,7,8)6-8,(9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_003	3	12	(1,(2,(3,4,(((((5,6)5-6,7,8,(9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_004	4	12	(1,(2,(3,4,(((((5,6)5-6,7,8,(9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_005	5	12	(1,(2,(3,4,((((5,6)5-6,7,8,((9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_006	6	12	(1,(2,(3,4,((((5,6)5-6,7,8,((9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_007	7	12	(1,(2,(3,4,((((5,6)5-6,7,8,(9,((((10,11,12,13)10-13,14,15,16)10-16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_008	8	12	(1,(2,(3,4,((((5,6)5-6,7,8,(9,(((10,11,12,(13,14,15)13-15,16)10-16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_009	9	12	(1,(2,(3,4,(((5,(6,7,8)6-8,((9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_010	10	12	(1,(2,(3,4,(((5,(6,7,8)6-8,((9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_011	11	12	(1,(2,(3,4,(((5,(6,7,8)6-8,(9,((((10,11,12,13)10-13,14,15,16)10-16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_012	12	12	(1,(2,(3,4,(((5,(6,7,8)6-8,(9,(((10,11,12,(13,14,15)13-15,16)10-16,17)10-17,18)10-18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_013	13	11	(1,(2,(3,4,((((5,(((6,7,8)6-8,9,10)6-10,11,12,(13,14,15)13-15,16,17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_014	14	10	(1,(2,(3,4,((((((5,6)5-6,7,8,9,(10,11,12,13)10-13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_015	15	10	(1,(2,(3,4,(((((5,((6,7,8)6-8,9,10)6-10,11,12,13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_016	16	10	(1,(2,(3,4,(((((5,(6,7,8)6-8,9,(10,11,12,13)10-13)5-13,14,15,16,17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_017	17	9	(1,(2,(3,4,((((5,6)5-6,7,8,9,(10,11,12,13)10-13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_018	18	9	(1,(2,(3,4,(((5,6)5-6,7,8,9,((10,11,12,13)10-13,14,15,16)10-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_019	19	9	(1,(2,(3,4,(((5,6)5-6,7,8,9,(10,11,12,(13,14,15)13-15,16)10-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_020	20	9	(1,(2,(3,4,(((5,((6,7,8)6-8,9,10)6-10,11,12,13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_021	21	9	(1,(2,(3,4,(((5,(6,7,8)6-8,9,(10,11,12,13)10-13)5-13,14,15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_022	22	9	(1,(2,(3,4,((5,((6,7,8)6-8,9,10)6-10,11,12,(13,14,15)13-15,16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_023	23	9	(1,(2,(3,4,((5,(6,7,8)6-8,9,((10,11,12,13)10-13,14,15,16)10-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
family_024	24	9	(1,(2,(3,4,((5,(6,7,8)6-8,9,(10,11,12,(13,14,15)13-15,16)10-16,(17,18,19)17-19)5-19,20,21)5-21)3-21,22)2-22)1-22;
