tree_number	newick	group_spans	group_convergence
1	(1,2,(3,4,5,(((6,(7,8)7-8)6-8,9)6-9,10,11,12)6-12,13,14,15)3-15,16,17,18,19,20)1-20;	1-20;3-15;6-12;6-9;6-8;7-8	3;1;1;1;1;1
2	(1,2,3,4,5,((((6,(7,8)7-8)6-8,9)6-9,10,11,12)6-12,13,14,15,16,17,18,19,20)6-20)1-20;	1-20;6-20;6-12;6-9;6-8;7-8	3;1;1;1;1;1
3	((1,2,3,4,5,((6,(7,8)7-8)6-8,9)6-9)1-9,10,11,12,13,14,15,16,17,18,19,20)1-20;	1-20;1-9;6-9;6-8;7-8	3;1;1;1;1
4	(1,2,(3,4,5,((6,7,(8,9)8-9)6-9,10,11,12)6-12,13,14,15)3-15,16,17,18,19,20)1-20;	1-20;3-15;6-12;6-9;8-9	3;1;1;1;3
5	(1,2,(3,4,5,(6,7,((8,9)8-9,10,11)8-11,12)6-12,13,14,15)3-15,16,17,18,19,20)1-20;	1-20;3-15;6-12;8-11;8-9	3;1;1;2;3
6	(1,2,3,4,5,(((6,7,(8,9)8-9)6-9,10,11,12)6-12,13,14,15,16,17,18,19,20)6-20)1-20;	1-20;6-20;6-12;6-9;8-9	3;1;1;1;3
7	(1,2,3,4,5,((6,7,((8,9)8-9,10,11)8-11,12)6-12,13,14,15,16,17,18,19,20)6-20)1-20;	1-20;6-20;6-12;8-11;8-9	3;1;1;2;3
8	(1,2,3,4,5,(6,7,(((8,9)8-9,10,11)8-11,12,13,14,15,16,17,18,19,20)8-20)6-20)1-20;	1-20;6-20;8-20;8-11;8-9	3;1;1;2;3
9	((1,2,3,4,5,(6,7,(8,9)8-9)6-9)1-9,10,11,12,13,14,15,16,17,18,19,20)1-20;	1-20;1-9;6-9;8-9	3;1;1;3
