tree_number	newick	group_spans	group_convergence
28	(1,(2,(3,4,((((5,(6,7,(8,(((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;8-17;9-17;9-16;9-10;13-15	5;2;4;5;1;2;10;19;8;5;1;1;1
29	(1,(2,(3,4,((((5,(6,7,(8,((9,((10,11,12,13)10-13,14,15,16)10-16)9-16,17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;8-17;9-17;9-16;10-16;10-13	5;2;4;5;1;2;10;19;8;5;1;1;1
30	(1,(2,(3,4,((((5,(6,7,(8,((9,(10,11,12,(13,14,15)13-15,16)10-16)9-16,17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;8-17;9-17;9-16;10-16;13-15	5;2;4;5;1;2;10;19;8;5;1;1;1
31	(1,(2,(3,4,((((5,(6,7,(8,(9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;8-17;9-17;10-17;10-16;10-13	5;2;4;5;1;2;10;19;8;5;6;1;1
32	(1,(2,(3,4,((((5,(6,7,(8,(9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17)8-17)6-17)5-17,18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-17;6-17;8-17;9-17;10-17;10-16;13-15	5;2;4;5;1;2;10;19;8;5;6;1;1
33	(1,(2,(3,4,((((5,6)5-6,7,8,((((9,10)9-10,11,12,(13,14,15)13-15,16)9-16,17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-6;9-18;9-17;9-16;9-10;13-15	5;2;4;5;1;2;1;2;5;1;1;1
34	(1,(2,(3,4,((((5,6)5-6,7,8,(((9,((10,11,12,13)10-13,14,15,16)10-16)9-16,17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-6;9-18;9-17;9-16;10-16;10-13	5;2;4;5;1;2;1;2;5;1;1;1
35	(1,(2,(3,4,((((5,6)5-6,7,8,(((9,(10,11,12,(13,14,15)13-15,16)10-16)9-16,17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-6;9-18;9-17;9-16;10-16;13-15	5;2;4;5;1;2;1;2;5;1;1;1
36	(1,(2,(3,4,((((5,6)5-6,7,8,((9,(((10,11,12,13)10-13,14,15,16)10-16,17)10-17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-6;9-18;9-17;10-17;10-16;10-13	5;2;4;5;1;2;1;2;5;6;1;1
37	(1,(2,(3,4,((((5,6)5-6,7,8,((9,((10,11,12,(13,14,15)13-15,16)10-16,17)10-17)9-17,18)9-18)5-18,19)5-19,20,21)5-21)3-21,22)2-22)1-22;	1-22;2-22;3-21;5-21;5-19;5-18;5-6;9-18;9-17;10-17;10-16;13-15	5;2;4;5;1;2;1;2;5;6;1;1
