tree_number	newick	group_spans	strengths
1	(1,2,3,((4,5,6,7,8,9,((10,11,12)10-12,13)10-13,14)4-14,15,16,17,18,19,20,21,22)4-22,23,24,25,26,27,28)1-28;	1-28;4-22;4-14;10-13;10-12	1.7321;1.4142;1.0;1.7321;1.7321
2	(1,2,3,(4,5,6,7,8,9,(((10,11,12)10-12,13)10-13,14,15)10-15,16,17,18,19,20,21,22)4-22,23,24,25,26,27,28)1-28;	1-28;4-22;10-15;10-13;10-12	1.7321;1.4142;1.4142;1.7321;1.7321
3	(1,2,3,4,5,6,7,8,9,((((10,11,12)10-12,13)10-13,14,15)10-15,16,17,18,19,20,21,22,23)10-23,24,25,26,27,28)1-28;	1-28;10-23;10-15;10-13;10-12	1.7321;1.0;1.4142;1.7321;1.7321
