family_id	family_number	n_spans	newick
family_001	1	5	(1,2,3,4,5,6,7,8,9,10,(11,((12,(13,14,15,16,17)13-17,18,19,20,21,22,23)12-23,24,25)12-25,26,27)11-27,28,29)1-29;
family_002	2	3	(1,2,3,4,5,6,7,8,9,10,(11,12,13,(14,15,16,17,18,19,20,21,22,23,24,25,26,27)14-27)11-27,28,29)1-29;
