tree_number	newick	group_spans	strengths
1	(1,(((2,(3,4,5,6,(7,8,9,10)7-10)3-10)2-10,11,12,13,14,15,16,17,18)2-18,19,20,21,22,23,24,25,26,27,28,29,30)2-30,31,32)1-32;	1-32;2-30;2-18;2-10;3-10;7-10	1.4142;1.4142;1.0;1.0;1.0;1.4142
2	(1,(2,3,4,5,(6,(7,8,9,10)7-10,11,12,13,14,15,16,17,18,19,20)6-20,21,22,23,24,25,26,27,28,29,30)2-30,31,32)1-32;	1-32;2-30;6-20;7-10	1.4142;1.4142;1.0;1.4142
