span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-29	1	29	29	1	5	recursion based syndetic maximal coordination with ta	morphosyntactic	False		#BC3C29
2-28	2	28	27	1	5	recursion based syndetic maximal other conjunctions	morphosyntactic	False	8	#BC3C29
3-25	3	25	23	1	2	noninterruption maximal	morphosyntactic	False	3	#BC3C29
4-23	4	23	20	1	4	ciscategorial selection maximal chi- derives verbs	morphosyntactic	False	7	#BC3C29
4-28	4	28	25	1	3	recursion based syndetic maximal ña-linkage	morphosyntactic	False	6	#BC3C29
5-19	5	19	15	1	2	nonpermutability	morphosyntactic	False	4	#BC3C29
11-20	11	20	10	1	2	noninterruption causative as bound form	morphosyntactic	False	2	#BC3C29
12-26	12	26	15	1	1	recursion based asyndetic maximal	morphosyntactic	False	1	#BC3C29
14-20	14	20	7	1	3	noninterruption causative as free form	morphosyntactic	False	5	#BC3C29
16-17	16	17	2	1	5	ciscategorial selection maximal chi- does not derive verbs	morphosyntactic	False	9	#BC3C29
