Test_Labels	Domain_Type	Left_Edge	Right_Edge	Size
FreeOccurrence-Minimal-AFF/IMP_2sg	length	8	15	8
FreeOccurrence-Maximal-AFF/IMP_2sg	length	7	15	9
FreeOccurrence-Minimal-AFF/IMP_2pl	length	8	16	9
FreeOccurrence-Maximal-AFF/IMP_2pl	length	7	16	10
FreeOccurrence-Maximal-AFF/2pOBJ	length	5	16	12
FreeOccurrence-Maximal-AFF/elsewhere	length	5	15	11
NonPermutability-Scopal-noOM	morphosyntactic	3	18	16
NonPermutability-Strict-noOM	morphosyntactic	3	12	10
NonPermutability-Scopal-OM	morphosyntactic	4	17	14
NonPermutability-Strict-OM	morphosyntactic	3	12	10
NonInterruptibility-noOM	morphosyntactic	4	18	15
NonInterruptibility-OM	morphosyntactic	4	17	14
Ciscategorial-Maximal	morphosyntactic	4	17	14
Cicategorial-Minimal	morphosyntactic	8	17	10
SubspanRepetition-Coordination-Maximal	morphosyntactic	1	19	19
SubspanRepetition-Coordination-Minimial	morphosyntactic	8	15	8
SubspanRepetition-Reduplication	length	8	15	8
Segmental-VowelHarmony-FIXME-MISCODED-AS14ENDSHOULDBE12	phonological	8	14	7
Segmental-muContraction-Maximal	phonological	4	15	12
Segmental-muContraction-Minimal	phonological	7	15	9
Segmental-HiatusResolution-Glide	phonological	5	6	2
Segmental-HiatusResolution-Deletion	phonological	5	6	2
Segmental-GlideInsertation	phonological	5	8	4
Segmental-Assimilation	phonological	5	8	4
Prosodic-PenultimateLengthening-OM	phonological	8	17	10
Prosodic-PenultimateLengthening-noOM	phonological	8	18	11
Prosodic-DisyllabicMinimality	phonological	3	15	13
Tonal-RootExtensionHighTone-IMP	phonological	8	15	8
Tonal-ToneDoubling	phonological	4	15	12
Tonal-EncliticToneShift	phonological	4	17	14
Tonal-MeeussensRule	phonological	7	15	9
Tonal-Plateauing	phonological	4	17	14
Tonal-FinalRetraction	phonological	4	17	14
TonePattern2-OM	tonosegmental	7	15	9
TonePattern2-noOM	tonosegmental	8	15	8
TonePattern3	tonosegmental	6	15	10
TonePattern4-OM	tonosegmental	6	15	10
TonePattern4-noOM	tonosegmental	6	15	10
TonePattern5	tonosegmental	6	15	10
TonePattern6	tonosegmental	5	15	11
TonePattern7-OM	tonosegmental	5	15	11
TonerPattern7-noM	tonosegmental	5	15	11
TonePattern8-OM	tonosegmental	5	15	11
TonePattern8-noOM	tonosegmental	5	15	11
TonePatternNeg2	tonosegmental	6	15	10
TonePatternNeg3-PAST	tonosegmental	4	15	12
TonePatternNeg3-PERM	tonosegmental	4	15	12
TonePatternNeg-OM	tonosegmental	4	15	12
TonePatternNeg-noOM	tonosegmental	4	15	12
TonePatternRel2	tonosegmental	5	15	11
TonePatternRel3	tonosegmental	4	15	12
TonePatternHighToneExtension	tonosegmental	10	15	6
BiuniquenessDeviation-TAMP	morphosyntactic	4	15	12
BiuniquenessDeviation-Valency	morphosyntactic	10	14	5
Intonation-DeclarativeContentQuestion	tonosegmental	2	19	18
Intonation-YesNoQuestion-Minimal	tonosegmental	2	19	18
Intonation-YesNoQuestion-Maximal	tonosegmental	1	19	19
