tree_number	newick	group_spans	group_convergence
1	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,(23,24,(25,(26,27,28,(((((29,30)29-30,31)29-31,32,33)29-33,34)29-34,35,36)29-36)26-36)25-36)23-36,37,38,39)1-39;	1-39;23-36;25-36;26-36;29-36;29-34;29-33;29-31;29-30	2;1;2;2;2;1;2;1;1
2	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,(23,24,(25,(26,27,28,(((29,(30,31,32,33)30-33)29-33,34)29-34,35,36)29-36)26-36)25-36)23-36,37,38,39)1-39;	1-39;23-36;25-36;26-36;29-36;29-34;29-33;30-33	2;1;2;2;2;1;2;1
3	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,(23,24,((25,26,27,28,(((29,30)29-30,31)29-31,32,33)29-33)25-33,34,35,36)25-36)23-36,37,38,39)1-39;	1-39;23-36;25-36;25-33;29-33;29-31;29-30	2;1;2;1;2;1;1
4	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,(23,24,(((25,26,27,28,(29,30)29-30)25-30,31,32,33)25-33,34,35,36)25-36)23-36,37,38,39)1-39;	1-39;23-36;25-36;25-33;25-30;29-30	2;1;2;1;1;1
5	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,(23,24,((25,26,27,28,(29,(30,31,32,33)30-33)29-33)25-33,34,35,36)25-36)23-36,37,38,39)1-39;	1-39;23-36;25-36;25-33;29-33;30-33	2;1;2;1;2;1
