span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic
1-22	1	22	22	4	1	PitchRange-Question-Maximal|Downdrift-DeclarativeContentQ-Maximal|Downdrift-YesNoQ-Maximal|FinalPitch-YesNoQ-Maximal	intonational	False
2-22	2	22	21	2	1	PitchRange-Declarative-Maximal|FinalPitch-Declarative-Maximal	intonational	False
6-17	6	17	12	6	1	PitchRange-Declarative-Minimal|PitchRange-Question-Minimal|Downdrift-DeclarativeContentQ-Minimal|Downdrift-YesNoQ-Minimal|FinalPitch-Declarative-Minimal|FinalPitch-YesNoQ-Minimal	intonational	False
