tree_number	newick	group_spans	strengths
1	(1,2,3,4,5,6,7,(8,(9,((((10,11,12,13)10-13,14,15,16)10-16,17)10-17,18,19)10-19,20)9-20,21)8-21)1-21;	1-21;8-21;9-20;10-19;10-17;10-16;10-13	2.2361;2.0;1.4142;1.4142;1.4142;1.4142;1.4142
2	(1,2,3,4,5,6,7,(8,9,(((((10,11,12,13)10-13,14,15,16)10-16,17)10-17,18,19)10-19,20,21)10-21)8-21)1-21;	1-21;8-21;10-21;10-19;10-17;10-16;10-13	2.2361;2.0;1.0;1.4142;1.4142;1.4142;1.4142
3	(1,2,3,(4,5,(6,7,(8,(9,10)9-10)8-10,11,12)6-12)4-12,13,14,15,16,17,18,19,20,21)1-21;	1-21;4-12;6-12;8-10;9-10	2.2361;1.0;1.0;1.4142;1.7321
4	(1,2,3,4,5,6,7,((8,(9,10)9-10)8-10,11,12,13,14,15,16,17,18,19,20,21)8-21)1-21;	1-21;8-21;8-10;9-10	2.2361;2.0;1.4142;1.7321
5	(1,2,3,4,5,6,7,(8,((9,10)9-10,11,12,13,14,15,16,17,18,19,20)9-20,21)8-21)1-21;	1-21;8-21;9-20;9-10	2.2361;2.0;1.4142;1.7321
