position	left_summed	left_capped	right_summed	right_capped
1	7	7	0	0
2	0	0	0	0
3	0	0	0	0
4	1	1	0	0
5	0	0	0	0
6	1	1	0	0
7	0	0	0	0
8	8	7	0	0
9	12	6	0	0
10	16	4	5	3
11	0	0	0	0
12	0	0	2	1
13	0	0	4	4
14	0	0	0	0
15	0	0	0	0
16	0	0	6	5
17	0	0	6	5
18	0	0	2	2
19	0	0	2	2
20	0	0	4	4
21	0	0	14	7
