group	kind	family_count	n
all	all	1	1
all	all	2	27
all	all	3	214
all	all	4	583
all	all	5	844
all	all	6	1045
all	all	7	788
all	all	8	674
all	all	9	341
all	all	10	259
all	all	11	82
all	all	12	91
all	all	13	18
all	all	14	21
all	all	15	5
all	all	16	2
all	all	17	3
all	all	18	2
morphosyntactic	class	1	194
morphosyntactic	class	2	1828
morphosyntactic	class	3	1952
morphosyntactic	class	4	866
morphosyntactic	class	5	118
morphosyntactic	class	6	42
phonological	class	1	657
phonological	class	2	2812
phonological	class	3	1324
phonological	class	4	207
indeterminate	class	1	3326
indeterminate	class	2	1674
morsyn_indet	bundle	1	54
morsyn_indet	bundle	2	858
morsyn_indet	bundle	3	1834
morsyn_indet	bundle	4	1436
morsyn_indet	bundle	5	537
morsyn_indet	bundle	6	243
morsyn_indet	bundle	7	24
morsyn_indet	bundle	8	12
morsyn_indet	bundle	9	2
