family_id	family_number	n_spans	newick
family_001	1	8	(1,(((((2,(3,4,5,6,(7,8,9,10)7-10)3-10)2-10,11,12,13,14,15,16,17,18)2-18,19,20,21,22,23,24,25,26)2-26,27,28,29,30)2-30,31,32)2-32)1-32;
family_002	2	7	(1,(((2,((3,4,5,6,(7,8,9,10)7-10)3-10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26)3-26)2-26,27,28,29,30)2-30,31,32)2-32)1-32;
family_003	3	7	(1,(((2,(3,4,5,(6,(7,8,9,10)7-10,11,12,13,14,15,16,17,18,19,20)6-20,21,22,23,24,25,26)3-26)2-26,27,28,29,30)2-30,31,32)2-32)1-32;
