span_id_a	span_id_b
10-12	11-18
10-12	11-19
10-12	11-20
10-12	12-15
10-12	12-18
10-12	12-19
10-12	12-20
10-12	8-10
10-18	11-19
10-18	11-20
10-18	12-19
10-18	12-20
10-18	7-15
10-18	8-10
10-18	8-12
10-19	11-20
10-19	12-20
10-19	19-21
10-19	7-15
10-19	8-10
10-19	8-12
10-19	8-18
11-12	12-15
11-12	12-18
11-12	12-19
11-12	12-20
11-18	12-19
11-18	12-20
11-18	7-15
11-18	8-12
11-19	12-20
11-19	19-21
11-19	7-15
11-19	8-12
11-19	8-18
11-20	19-21
11-20	7-15
11-20	7-19
11-20	8-12
11-20	8-18
11-20	8-19
12-15	15-17
12-15	8-12
12-18	7-15
12-18	8-12
12-19	19-21
12-19	7-15
12-19	8-12
12-19	8-18
12-20	19-21
12-20	7-15
12-20	7-19
12-20	8-12
12-20	8-18
12-20	8-19
15-17	7-15
19-21	7-19
19-21	7-20
19-21	8-19
7-15	8-18
7-15	8-19
7-8	8-10
7-8	8-12
7-8	8-18
7-8	8-19
