selection	rank	family_id
consensus_all	1	family_016
consensus_A	1	family_047
consensus_B	1	family_016
consensus_C	1	family_007
exemplary	1	family_016
exemplary	2	family_001
exemplary	3	family_038
exemplary	4	family_054
exemplary	5	family_047
exemplary	6	family_007
exemplary	7	family_068
