family_id	family_number	n_spans	newick
family_001	1	7	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,(25,(26,27,28,((((29,30)29-30,31)29-31,32,33)29-33,34,35,36)29-36)26-36)25-36,37,38,39)1-39;
family_002	2	6	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,((25,26,27,28,(((29,30)29-30,31)29-31,32,33)29-33)25-33,34,35,36)25-36,37,38,39)1-39;
family_003	3	6	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,(25,(26,27,28,((29,(30,31,32,33)30-33)29-33,34,35,36)29-36)26-36)25-36,37,38,39)1-39;
family_004	4	5	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,((25,26,27,28,(29,(30,31,32,33)30-33)29-33)25-33,34,35,36)25-36,37,38,39)1-39;
