span_id_a	span_id_b
1-9	3-15
1-9	6-12
1-9	6-20
1-9	8-11
1-9	8-20
3-15	6-20
3-15	8-20
6-12	8-20
6-8	8-11
6-8	8-20
6-8	8-9
6-9	8-11
6-9	8-20
7-8	8-11
7-8	8-20
7-8	8-9
