position	left_summed	left_capped	right_summed	right_capped
1	11	9	0	0
2	0	0	0	0
3	3	3	0	0
4	0	0	0	0
5	0	0	0	0
6	19	9	0	0
7	3	3	0	0
8	10	6	6	3
9	0	0	14	9
10	0	0	0	0
11	0	0	3	3
12	0	0	6	6
13	0	0	0	0
14	0	0	0	0
15	0	0	3	3
16	0	0	0	0
17	0	0	0	0
18	0	0	0	0
19	0	0	0	0
20	0	0	14	9
