tree_number	newick	group_spans	group_convergence
1	(1,(2,(3,4,(5,6,((7,8,9,(10,11,12,13)10-13)7-13,14)7-14,15,16)5-16)3-16,17,18,19,20)2-20,21)1-21;	1-21;2-20;3-16;5-16;7-14;7-13;10-13	3;1;1;1;2;5;8
2	(1,(2,(3,(4,5,6,(7,8,9,(10,11,12,13)10-13)7-13)4-13,14,15,16)3-16,17,18,19,20)2-20,21)1-21;	1-21;2-20;3-16;4-13;7-13;10-13	3;1;1;2;5;8
3	(1,(2,3,4,5,6,(((7,8,9,(10,11,12,13)10-13)7-13,14)7-14,15,16,17)7-17,18,19,20)2-20,21)1-21;	1-21;2-20;7-17;7-14;7-13;10-13	3;1;2;2;5;8
4	(1,(2,3,4,5,6,(7,8,9,((10,11,12,13)10-13,14,15,16,17)10-17)7-17,18,19,20)2-20,21)1-21;	1-21;2-20;7-17;10-17;10-13	3;1;2;1;8
5	(1,(2,3,4,5,6,(7,8,9,(10,11,12,(13,14,15,16,17)13-17)10-17)7-17,18,19,20)2-20,21)1-21;	1-21;2-20;7-17;10-17;13-17	3;1;2;1;2
