span_id_a	span_id_b
2-10	3-12
2-10	4-12
2-6	3-12
2-6	4-10
2-6	4-12
2-8	3-12
2-8	4-10
2-8	4-12
3-4	4-10
3-4	4-12
3-5	4-10
3-5	4-12
3-6	4-10
3-6	4-12
