position	left_summed	left_capped	right_summed	right_capped
1	4	4	0	0
2	8	4	0	0
3	8	3	0	0
4	3	2	2	2
5	0	0	2	2
6	0	0	3	2
7	0	0	0	0
8	0	0	1	1
9	0	0	0	0
10	0	0	4	3
11	0	0	0	0
12	0	0	11	4
