family_id	family_number	n_spans	newick
family_001	1	8	(1,((((2,(((3,4)3-4,5)3-5,6)3-6)2-6,7,8)2-8,9,10)2-10,11,12)2-12)1-12;
family_002	2	6	(1,(2,((((3,4)3-4,5)3-5,6)3-6,7,8,9,10,11,12)3-12)2-12)1-12;
family_003	3	5	(1,(2,(3,((4,5,6,7,8,9,10)4-10,11,12)4-12)3-12)2-12)1-12;
family_004	4	4	(1,((2,3,(4,5,6,7,8,9,10)4-10)2-10,11,12)2-12)1-12;
