position	left_summed	left_capped	right_summed	right_capped
1	6	3	0	0
2	1	1	0	0
3	0	0	0	0
4	1	1	0	0
5	0	0	0	0
6	0	0	0	0
7	4	3	0	0
8	0	0	4	3
9	0	0	1	1
10	0	0	3	2
11	0	0	0	0
12	0	0	1	1
13	0	0	3	3
