condition	class	n_unique_spans	n_maximal_laminar_families	kind	label	colour
all_tests	all	10	7	all		
without_adjacent_spans	all	10	7	all		
all_tests	morphosyntactic	4	2	class	Morphosyntactic	#BC3C29
without_adjacent_spans	morphosyntactic	4	2	class	Morphosyntactic	#BC3C29
all_tests	phonological	1	1	class	Phonological	#20845E
without_adjacent_spans	phonological	1	1	class	Phonological	#20845E
all_tests	indeterminate	6	3	class	Indeterminate	#6F99AD
without_adjacent_spans	indeterminate	6	3	class	Indeterminate	#6F99AD
all_tests	morsyn_indet	10	7	bundle	Morphosyntactic + indeterminate	#EE4C97
