span_id_a	span_id_b
10-15	11-16
10-15	12-22
11-16	12-22
11-16	4-15
11-16	5-15
12-22	3-21
12-22	4-15
12-22	5-15
12-22	9-21
3-21	4-22
4-15	9-21
5-15	9-21
