tree_number	newick	group_spans	strengths
1	(1,2,3,4,(5,6,7,8,9,(10,11,12,13)10-13,14,15,16)5-16,17)1-17;	1-17;5-16;10-13	1.4142;1.0;1.4142
2	(1,2,3,4,5,6,(7,8,9,(10,11,12,13)10-13,14,15,16,17)7-17)1-17;	1-17;7-17;10-13	1.4142;1.0;1.4142
