span_id_a	span_id_b
1-24	6-27
1-24	6-28
1-24	7-25
1-24	7-26
1-27	6-28
6-17	7-20
6-17	7-22
6-17	7-24
6-17	7-25
6-17	7-26
6-17	8-24
6-24	7-25
6-24	7-26
7-10	8-12
7-10	8-16
7-10	8-24
7-11	8-12
7-11	8-16
7-11	8-24
7-12	8-16
7-12	8-24
7-13	8-16
7-13	8-24
7-17	8-24
7-20	8-24
7-22	8-24
7-8	8-12
7-8	8-16
7-8	8-24
7-9	8-12
7-9	8-16
7-9	8-24
