position	left_summed	left_capped	right_summed	right_capped
1	0	6	0	0
2	0	0	0	0
3	0	0	0	0
4	0	0	0	0
5	6	6	0	0
6	0	0	0	0
7	8	6	0	0
8	8	4	2	2
9	0	0	0	0
10	0	0	4	4
11	2	2	0	0
12	10	4	2	2
13	0	0	0	0
14	0	0	0	0
15	0	0	4	4
16	0	0	0	0
17	0	0	0	0
18	0	0	4	4
19	3	3	6	3
20	0	0	0	0
21	0	0	3	3
22	0	0	0	0
23	0	0	12	6
