family_id	family_number	n_spans	newick
family_001	1	8	((1,2,3,4,5,(6,(((((7,8)7-8,9,10)7-10,11,12,13,14,15,16,17)7-17,18,19,20,21,22,23,24)7-24,25)7-25,26,27)6-27)1-27,28)1-28;
family_002	2	8	(1,2,3,4,5,((6,(((((7,8)7-8,9,10)7-10,11,12,13,14,15,16,17)7-17,18,19,20,21,22,23,24)7-24,25)7-25,26,27)6-27,28)6-28)1-28;
family_003	3	7	(((1,2,3,4,5,6,((((7,8)7-8,9,10)7-10,11,12,13,14,15,16,17)7-17,18,19,20,21,22,23,24)7-24)1-24,25,26,27)1-27,28)1-28;
family_004	4	7	((1,2,3,4,5,(6,(((7,(8,9,10,11,12)8-12,13,14,15,16,17)7-17,18,19,20,21,22,23,24)7-24,25)7-25,26,27)6-27)1-27,28)1-28;
family_005	5	7	((1,2,3,4,5,(6,((7,((8,9,10,11,12)8-12,13,14,15,16,17,18,19,20,21,22,23,24)8-24)7-24,25)7-25,26,27)6-27)1-27,28)1-28;
family_006	6	7	(1,2,3,4,5,((6,(((7,(8,9,10,11,12)8-12,13,14,15,16,17)7-17,18,19,20,21,22,23,24)7-24,25)7-25,26,27)6-27,28)6-28)1-28;
family_007	7	7	(1,2,3,4,5,((6,((7,((8,9,10,11,12)8-12,13,14,15,16,17,18,19,20,21,22,23,24)8-24)7-24,25)7-25,26,27)6-27,28)6-28)1-28;
family_008	8	6	(((1,2,3,4,5,6,((7,(8,9,10,11,12)8-12,13,14,15,16,17)7-17,18,19,20,21,22,23,24)7-24)1-24,25,26,27)1-27,28)1-28;
family_009	9	6	(((1,2,3,4,5,6,(7,((8,9,10,11,12)8-12,13,14,15,16,17,18,19,20,21,22,23,24)8-24)7-24)1-24,25,26,27)1-27,28)1-28;
