tree_number	newick	group_spans	strengths
1	((1,(2,3,(4,5,6,(7,8)7-8,9)4-9,10)2-10)1-10,11,12,13)1-13;	1-13;1-10;2-10;4-9;7-8	1.7321;1.4142;1.0;1.0;1.7321
2	(((1,2,3,4,5,6,(7,8)7-8)1-8,9,10)1-10,11,12,13)1-13;	1-13;1-10;1-8;7-8	1.7321;1.4142;1.0;1.7321
3	(1,2,3,4,5,6,((7,8)7-8,9,10,11,12)7-12,13)1-13;	1-13;7-12;7-8	1.7321;1.0;1.7321
