tree_number	newick	group_spans	group_convergence
1	(1,2,3,(4,5,6,7,8,9,10,11,12,13,(((14,(15,16)15-16)14-16,17,18)14-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40)14-40)4-40,41,42,43,44,45,46)1-46;	1-46;4-40;14-40;14-18;14-16;15-16	0;1;2;1;2;1
2	(1,2,3,4,5,6,7,8,9,10,11,12,13,((((14,(15,16)15-16)14-16,17,18)14-18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40)14-40,41,42,43,44,45,46)14-46)1-46;	1-46;14-46;14-40;14-18;14-16;15-16	0;1;2;1;2;1
3	(1,2,3,(4,5,6,7,8,9,10,11,12,13,(14,15,((16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37,38,39,40)14-40)4-40,41,42,43,44,45,46)1-46;	1-46;4-40;14-40;16-34;16-32	0;1;2;2;1
4	(1,2,3,4,5,6,7,8,9,10,11,12,13,((14,15,((16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37,38,39,40)14-40,41,42,43,44,45,46)14-46)1-46;	1-46;14-46;14-40;16-34;16-32	0;1;2;2;1
5	(1,2,3,4,5,6,7,8,9,10,11,12,13,(14,15,(((16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32)16-32,33,34)16-34,35,36,37,38,39,40,41,42,43,44)16-44,45,46)14-46)1-46;	1-46;14-46;16-44;16-34;16-32	0;1;1;2;1
