Serial_Order	Analysis_Type	Language	ShortName	Glottocode	Planar_ID	Domain_ID	Domain_Type	Abstract_Type	CrossL_Fracture	MinMax_Fracture	Lspecific_Fracture	Left_Edge	Right_Edge	Convergence	Relative_Convergence	Overlap_Verbal	Overlap_Verbal_Extended	Overlap_Nominal	Size	Relative_Size	Largest	Position_Total	PW_Pattern	Notes	Tests_Total	LexPhon_Name	Spanish_Name	Structure_Preserving	POS_Subcategorization	Obligatoriness	Exceptional	Categorical
130	lexphon	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_segmental_suppletion_intransitive.vowel.allomorphy	phonological	segmental	suppletion	NA	intransitive.vowel.allomorphy	8	9	NA	NA	8	NA	4	2	0.07	28	28	allomorphy	NA	38	Intransitive.vowel.allomorphy	Alomorfía vocal intransitivo	y	y	y	y	y
133	constituency	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_suprasegmental_accent_maximal_intensity	phonological	suprasegmental	accent	maximal	intensity	7	25	2	0.05	8	NA	4	19	0.68	28	28	stress	NA	38	Intensity	Intensidad	n	n	n	n	n
134	constituency	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_suprasegmental_accent_minimal_intensity	phonological	suprasegmental	accent	minimal	intensity	7	8	3	0.08	8	NA	4	2	0.07	28	28	stress	NA	38	Intensity	Intensidad	n	n	n	n	n
135	constituency	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_suprasegmental_deletion_minimal_h.deletion	phonological	suprasegmental	deletion	minimal	h.deletion	6	27	1	0.03	8	NA	4	22	0.79	28	28	deletion	NA	38	H.deletion	Supresión tono alto	n	n	y	n	n
136	constituency	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_suprasegmental_insertion_minimal_h.insertion	phonological	suprasegmental	insertion	minimal	h.insertion	7	17	1	0.03	8	NA	4	11	0.39	28	28	insertion	NA	38	H.insertion	Inserción tono alto	n	n	y	n	n
137	constituency	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_suprasegmental_tone.deletion_long.distance.tone.reduction.h...h>l...h	phonological	suprasegmental	tone.deletion	NA	long.distance.tone.reduction.h...h>l...h	8	12	1	0.03	8	NA	4	5	0.18	28	28	tone	NA	38	long.distance.tone.reduction	Reducción tono distancia	n	y	y	y	n
138	constituency	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_suprasegmental_tone.deletion_maximal_h.deletion	phonological	suprasegmental	tone.deletion	maximal	h.deletion	1	27	1	0.03	8	NA	4	27	0.96	28	28	tone	NA	38	H.deletion	Supresión tono alto	n	n	n	n	y
139	constituency	Chácobo	Chacobo	chac1251	chac1251_verbal	chac1251_v_suprasegmental_tone.insertion_maximal_h.insertion	phonological	suprasegmental	tone.insertion	maximal	h.insertion	1	24	1	0.03	8	NA	4	24	0.86	28	28	tone	NA	38	H.insertion	Inserción tono alto	n	n	y	n	n
174	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_nominal	dura0000_n_segmental_bimoraity.constraint_max_bimoraic	phonological	segmental	bimoraity.constraint	max	bimoraic	1	13	3	0.16	17	NA	8	13	1	13	13	size-related	NA	19	minimality	Minimalidad bimoraico	y	y	y	n	y
175	constituency	San Martín Duraznos Mixtec	Duraznos Mixtec	dura0000	dura0000_nominal	dura0000_n_segmental_bimoraity.constraint_min_bimoraic	phonological	segmental	bimoraity.constraint	min	bimoraic	8	8	4	0.21	17	NA	8	1	0.08	13	13	size-related	NA	19	minimality	Minimalidad bimoraico	y	y	y	n	y
