family_id	family_number	n_spans	newick
family_001	1	6	(1,2,3,4,5,6,7,8,9,(((((10,11,12)10-12,13)10-13,14,15)10-15,16,17,18,19,20,21,22,23)10-23,24)10-24,25,26,27,28)1-28;
family_002	2	5	(1,2,(3,(4,5,6,7,8,9,((10,11,12)10-12,13)10-13,14)4-14,15)3-15,16,17,18,19,20,21,22,23,24,25,26,27,28)1-28;
family_003	3	5	(1,2,(3,4,5,6,7,8,9,(((10,11,12)10-12,13)10-13,14,15)10-15)3-15,16,17,18,19,20,21,22,23,24,25,26,27,28)1-28;
family_004	4	5	(1,2,3,((4,5,6,7,8,9,((10,11,12)10-12,13)10-13,14)4-14,15,16,17,18,19,20,21,22)4-22,23,24,25,26,27,28)1-28;
family_005	5	5	(1,2,3,(4,5,6,7,8,9,(((10,11,12)10-12,13)10-13,14,15)10-15,16,17,18,19,20,21,22)4-22,23,24,25,26,27,28)1-28;
family_006	6	5	(1,2,3,4,5,6,7,8,9,(((10,(11,12,13,14)11-14,15)10-15,16,17,18,19,20,21,22,23)10-23,24)10-24,25,26,27,28)1-28;
family_007	7	5	(1,2,3,4,5,6,7,8,9,((10,((11,12,13,14)11-14,15,16,17,18,19)11-19,20,21,22,23)10-23,24)10-24,25,26,27,28)1-28;
family_008	8	4	(1,2,(3,(4,5,6,7,8,9,10,(11,12,13,14)11-14)4-14,15)3-15,16,17,18,19,20,21,22,23,24,25,26,27,28)1-28;
family_009	9	4	(1,2,(3,4,5,6,7,8,9,(10,(11,12,13,14)11-14,15)10-15)3-15,16,17,18,19,20,21,22,23,24,25,26,27,28)1-28;
family_010	10	4	(1,2,3,((4,5,6,7,8,9,10,(11,12,13,14)11-14)4-14,15,16,17,18,19,20,21,22)4-22,23,24,25,26,27,28)1-28;
family_011	11	4	(1,2,3,(4,5,6,7,8,9,(10,(11,12,13,14)11-14,15)10-15,16,17,18,19,20,21,22)4-22,23,24,25,26,27,28)1-28;
family_012	12	4	(1,2,3,(4,5,6,7,8,9,10,((11,12,13,14)11-14,15,16,17,18,19)11-19,20,21,22)4-22,23,24,25,26,27,28)1-28;
