condition	class	n_unique_spans	n_maximal_laminar_families	kind	label	colour
all_tests	all	11	12	all		
without_adjacent_spans	all	11	12	all		
all_tests	morphosyntactic	5	3	class	Morphosyntactic	#BC3C29
without_adjacent_spans	morphosyntactic	5	3	class	Morphosyntactic	#BC3C29
all_tests	phonological	7	5	class	Phonological	#20845E
without_adjacent_spans	phonological	7	5	class	Phonological	#20845E
all_tests	indeterminate	3	1	class	Indeterminate	#6F99AD
without_adjacent_spans	indeterminate	3	1	class	Indeterminate	#6F99AD
all_tests	morsyn_indet	6	3	bundle	Morphosyntactic + indeterminate	#EE4C97
