span_id_a	span_id_b
10-12	11-14
10-12	11-19
10-13	11-14
10-13	11-19
10-15	11-19
10-15	4-14
10-23	3-15
10-23	4-14
10-23	4-22
10-24	3-15
10-24	4-14
10-24	4-22
11-19	3-15
11-19	4-14
3-15	4-22
