tree_number	newick	group_spans	group_convergence
1	(1,((2,3,(4,((5,6,(7,8,9,10,(11,12,13,14,15,16,17,18,19,20,21)11-21)7-21)5-21,22)5-22)4-22)2-22,23)2-23,24)1-24;	1-24;2-23;2-22;4-22;5-22;5-21;7-21;11-21	1;5;3;1;1;1;1;1
2	(1,((2,3,(4,(5,6,((7,8,9,10,(11,12,13,14,15,16,17,18,19,20,21)11-21)7-21,22)7-22)5-22)4-22)2-22,23)2-23,24)1-24;	1-24;2-23;2-22;4-22;5-22;7-22;7-21;11-21	1;5;3;1;1;1;1;1
3	(1,((2,3,(4,(5,6,(7,8,(9,10,(11,12,13,14,15,16,17,18,19,20,21)11-21,22)9-22)7-22)5-22)4-22)2-22,23)2-23,24)1-24;	1-24;2-23;2-22;4-22;5-22;7-22;9-22;11-21	1;5;3;1;1;1;1;1
4	(1,((2,3,(4,(5,6,(7,8,(9,10,11,(12,13,14,15,16,17,18,19,20,21,22)12-22)9-22)7-22)5-22)4-22)2-22,23)2-23,24)1-24;	1-24;2-23;2-22;4-22;5-22;7-22;9-22;12-22	1;5;3;1;1;1;1;1
5	(1,((((2,3,(4,5,6,7,8,9,10,11,12,13)4-13,14,15,16,17)2-17,18,19,20)2-20,21,22)2-22,23)2-23,24)1-24;	1-24;2-23;2-22;2-20;2-17;4-13	1;5;3;1;1;1
6	((1,((2,3,(4,5,6,7,8,9,10,11,12,13)4-13,14,15,16,17)2-17,18,19,20)2-20,21)1-21,22,23,24)1-24;	1-24;1-21;2-20;2-17;4-13	1;1;1;1;1
7	((1,2,3,4,(5,6,(7,8,9,10,(11,12,13,14,15,16,17,18,19,20,21)11-21)7-21)5-21)1-21,22,23,24)1-24;	1-24;1-21;5-21;7-21;11-21	1;1;1;1;1
8	(1,((2,3,((4,5,6,7,8,9,10,11,12,13)4-13,14,15,16,17,18,19,20,21,22)4-22)2-22,23)2-23,24)1-24;	1-24;2-23;2-22;4-22;4-13	1;5;3;1;1
