tree_number	newick	group_spans	strengths
1	(1,2,3,4,(5,6,(7,((8,9,10)8-10,(11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19)8-19,20,21,22,23)7-23)5-23)1-23;	1-23;5-23;7-23;8-19;8-10;11-19;12-19;12-18;12-15	2.4495;2.4495;2.4495;1.4142;2.0;1.4142;1.4142;2.0;2.0
2	(1,2,3,4,(5,6,((7,8)7-8,9,10,(11,(((12,13,14,15)12-15,16,17,18)12-18,19)12-19)11-19,20,21,22,23)7-23)5-23)1-23;	1-23;5-23;7-23;7-8;11-19;12-19;12-18;12-15	2.4495;2.4495;2.4495;1.4142;1.4142;1.4142;2.0;2.0
3	(1,2,3,4,(5,6,((7,8)7-8,9,10,11,((12,13,14,15)12-15,16,17,18)12-18,(19,20,21)19-21,22,23)7-23)5-23)1-23;	1-23;5-23;7-23;7-8;12-18;12-15;19-21	2.4495;2.4495;2.4495;1.4142;2.0;2.0;1.7321
4	(1,2,3,4,(5,6,(7,(8,9,10)8-10,11,((12,13,14,15)12-15,16,17,18)12-18,(19,20,21)19-21,22,23)7-23)5-23)1-23;	1-23;5-23;7-23;8-10;12-18;12-15;19-21	2.4495;2.4495;2.4495;2.0;2.0;2.0;1.7321
5	(1,2,3,4,(5,6,(7,(((8,9,10)8-10,11,12)8-12,13,14,15,16,17,18,19)8-19,20,21,22,23)7-23)5-23)1-23;	1-23;5-23;7-23;8-19;8-12;8-10	2.4495;2.4495;2.4495;1.4142;1.4142;2.0
6	(1,2,3,4,(5,6,(7,((8,9,10)8-10,11,12)8-12,13,14,15,16,17,18,(19,20,21)19-21,22,23)7-23)5-23)1-23;	1-23;5-23;7-23;8-12;8-10;19-21	2.4495;2.4495;2.4495;1.4142;2.0;1.7321
