Language_ID	Planar_Type	Position	Position_Type	Elements	Class_Size	Notes
hupd1244	nominal	6	zone	Classifier	NA	NA
hupd1244	nominal	7	zone	Adjective	NA	NA
hupd1244	nominal	8	slot	‘Respect’ markers =wǝd (m), =wa (f)	NA	NA
hupd1244	nominal	9	slot	Deceased marker =cud	NA	NA
hupd1244	nominal	10	slot	Augmentative =pog, diminutive =mæh	NA	NA
hupd1244	nominal	11	slot	Plural =d’ǝh	NA	NA
hupd1244	nominal	12	zone	Case -ǎn, -an, -V́́t	NA	NA
hupd1244	nominal	13	slot	Intensifier =hup	NA	NA
hupd1244	nominal	14	slot	Parallel marker =hin	NA	NA
hupd1244	nominal	15	zone	Topic/Focus/Contrast/Evidentiality	NA	NA
iyoj1235	verbal	1	zone	Conjunction or conjunctive locution; interrogative ma?	NA	NA
iyoj1235	verbal	2	zone	Topic: DP {A,S}, Adverb, Adverbial clause	NA	NA
iyoj1235	verbal	3	zone	Focalized adverb or AdvP	NA	NA
iyoj1235	verbal	4	slot	Complementizers ti, ka;	NA	NA
iyoj1235	verbal	5	zone	N’, N, light DP, Pronoun/Adverb	NA	NA
iyoj1235	verbal	6	zone	N’, N, light DP, Pronoun/Adverb	NA	NA
iyoj1235	verbal	7	slot	Mirative ‑p’an; reportative ‑jen	NA	NA
iyoj1235	verbal	8	slot	Prospective ja	NA	NA
iyoj1235	verbal	9	slot	Incompletive ‑ta(j)	NA	NA
iyoj1235	verbal	10	slot	Negation je	NA	NA
iyoj1235	verbal	11	slot	Indirect evidential ‑t’i; mirative –p’an	NA	NA
iyoj1235	verbal	12	slot	Interrogative ‑mi	NA	NA
iyoj1235	verbal	13	slot	demonstrative kyak ‘that (way)’	NA	NA
iyoj1235	verbal	14	slot	Cross referencing active/nonactive markers	NA	NA
iyoj1235	verbal	15	slot	Reflexive/reciprocal ni(n); antipassive ka	NA	NA
iyoj1235	verbal	16	slot	Predicate base 	NA	NA
iyoj1235	verbal	17	slot	Participle -k	NA	NA
iyoj1235	verbal	18	slot	Causative; antipassive; verbalizer	NA	NA
iyoj1235	verbal	19	slot	Concord  1	NA	NA
iyoj1235	verbal	20	slot	Concord 2	NA	NA
iyoj1235	verbal	21	slot	Perdurative ‑jli	NA	NA
iyoj1235	verbal	22	slot	Momentary ‑a	NA	NA
iyoj1235	verbal	23	slot	Irrealis ‑a	NA	NA
iyoj1235	verbal	24	slot	Reportative ‑jen	NA	NA
iyoj1235	verbal	25	slot	Indirect evidential ‑t’i	NA	NA
iyoj1235	verbal	26	slot	Mirative ‑p’an	NA	NA
iyoj1235	verbal	27	slot	Incompletive ‑ta(j)	NA	NA
iyoj1235	verbal	28	slot	Interrogative ‑mi	NA	NA
iyoj1235	verbal	29	slot	Concord (3pl, A/S)‑is	NA	NA
iyoj1235	verbal	30	slot	Applicative: orientation ‑a(j)	NA	NA
iyoj1235	verbal	31	slot	Applicative: instrumental ‑e(j)	NA	NA
iyoj1235	verbal	32	slot	Applicative: distal ‑ey	NA	NA
iyoj1235	verbal	33	slot	Applicative: locatives ‑jiy, ‑jam	NA	NA
iyoj1235	verbal	34	slot	Applicative: punctual locative ‑’e, distributive/comitative ‑k’i, and possibly others	NA	NA
iyoj1235	verbal	35	slot	Oblique marker (only realized if position 36 is filled)	NA	NA
iyoj1235	verbal	36	slot	Applicative	NA	NA
iyoj1235	verbal	37	slot	Pluractional/downwards -jen	NA	NA
iyoj1235	verbal	38	slot	Pluractional/iterative –’ni(j)	NA	NA
iyoj1235	verbal	39	slot	Remote past –pe(j); perfect –(’V…)je(j)	NA	NA
iyoj1235	verbal	40	zone?	Temporal, aspectual and discourse particles	NA	NA
iyoj1235	verbal	41	slot	Locatives	NA	NA
iyoj1235	verbal	42	zone	N/, N’, light DP	NA	NA
iyoj1235	verbal	43	zone	N/, N’, light DP	NA	NA
iyoj1235	verbal	44	slot	Adpositions-applicatives	NA	NA
iyoj1235	verbal	45	zone	Heavy DP (A, S, O, Obl, Possessor of 43)	NA	NA
iyoj1235	verbal	46	zone	Heavy DP (A, S, O, Obl); S	NA	NA
mart1259	verbal	1	zone	Sentence adverbs	NA	NA
mart1259	verbal	2	zone	Adverbial clauses	NA	NA
mart1259	verbal	3	slot	Interrogative marker	NA	NA
mart1259	verbal	4	slot	Obligation fok	NA	NA
mart1259	verbal	5	zone	NP, subject pronouns (A, S)	NA	NA
mart1259	verbal	6	zone	Adverbial	NA	NA
mart1259	verbal	7	slot	Copula sé	NA	NA
mart1259	verbal	8	slot	Negative marker pa (neg), pé (neg), poko (not.yet)	NA	NA
mart1259	verbal	9	slot	Tense marker té (pst)	NA	NA
mart1259	verbal	10	zone	Adverbial	NA	NA
mart1259	verbal	11	slot	Tense marker ka (ipfv), ké (fut), key (fut), kay (fut)	NA	NA
mart1259	verbal	12	slot	Modal pé ʻcanʼ	NA	NA
mart1259	verbal	13	slot	Negative marker pa (neg)	NA	NA
mart1259	verbal	14	slot	Causative fè	NA	NA
mart1259	verbal	15	slot	NP (causee); causee pronouns	NA	NA
mart1259	verbal	16	zone	Adverbial	NA	NA
mart1259	verbal	17	slot	Derivational morpheme	NA	NA
mart1259	verbal	18	slot	V base	NA	NA
mart1259	verbal	19	slot	Object pronouns (recipient)	NA	NA
mart1259	verbal	20	slot	Object pronouns (patient)	NA	NA
