tree_number	newick	group_spans	group_convergence
1	((1,2,3,4,5,(6,((((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;7-26;7-25;7-24;7-22;7-20;7-17;7-13;7-12;7-11;7-10;7-9;7-8	1;1;1;1;2;4;2;1;1;1;1;2;4;1;3
2	(1,2,3,4,5,((6,((((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;7-26;7-25;7-24;7-22;7-20;7-17;7-13;7-12;7-11;7-10;7-9;7-8	1;1;1;1;2;4;2;1;1;1;1;2;4;1;3
3	(((1,2,3,4,5,(6,((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24)1-24,25,26,27)1-27,28)1-28;	1-28;1-27;1-24;6-24;7-24;7-22;7-20;7-17;7-13;7-12;7-11;7-10;7-9;7-8	1;1;1;3;4;2;1;1;1;1;2;4;1;3
4	((1,2,3,4,5,((6,((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;6-24;7-24;7-22;7-20;7-17;7-13;7-12;7-11;7-10;7-9;7-8	1;1;1;3;4;2;1;1;1;1;2;4;1;3
5	(1,2,3,4,5,(((6,((((((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24)6-24,25,26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;6-24;7-24;7-22;7-20;7-17;7-13;7-12;7-11;7-10;7-9;7-8	1;1;1;3;4;2;1;1;1;1;2;4;1;3
6	(((1,2,3,4,5,((6,(((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24)1-24,25,26,27)1-27,28)1-28;	1-28;1-27;1-24;6-24;6-17;7-17;7-13;7-12;7-11;7-10;7-9;7-8	1;1;1;3;2;1;1;1;2;4;1;3
7	((1,2,3,4,5,(((6,(((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;6-24;6-17;7-17;7-13;7-12;7-11;7-10;7-9;7-8	1;1;1;3;2;1;1;1;2;4;1;3
8	((1,2,3,4,5,(6,((((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27)1-27,28)1-28;	1-28;1-27;6-27;7-26;7-25;7-24;7-22;7-20;7-17;7-13;7-12;8-12	1;1;1;1;2;4;2;1;1;1;1;1
9	(1,2,3,4,5,((((6,(((((((7,8)7-8,9)7-9,10)7-10,11)7-11,12)7-12,13)7-13,14,15,16,17)7-17)6-17,18,19,20,21,22,23,24)6-24,25,26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;6-24;6-17;7-17;7-13;7-12;7-11;7-10;7-9;7-8	1;1;1;3;2;1;1;1;2;4;1;3
10	(1,2,3,4,5,((6,((((((((7,(8,9,10,11,12)8-12)7-12,13)7-13,14,15,16,17)7-17,18,19,20)7-20,21,22)7-22,23,24)7-24,25)7-25,26)7-26,27)6-27,28)6-28)1-28;	1-28;6-28;6-27;7-26;7-25;7-24;7-22;7-20;7-17;7-13;7-12;8-12	1;1;1;1;2;4;2;1;1;1;1;1
