condition	class	n_unique_spans	n_maximal_laminar_families	kind	label	colour
all_tests	all	7	2	all		
without_adjacent_spans	all	6	2	all		
all_tests	morphosyntactic	6	2	class	Morphosyntactic	#BC3C29
without_adjacent_spans	morphosyntactic	5	2	class	Morphosyntactic	#BC3C29
all_tests	phonological	2	1	class	Phonological	#20845E
without_adjacent_spans	phonological	2	1	class	Phonological	#20845E
all_tests	indeterminate	1	1	class	Indeterminate	#6F99AD
without_adjacent_spans	indeterminate	1	1	class	Indeterminate	#6F99AD
all_tests	morsyn_indet	6	2	bundle	Morphosyntactic + indeterminate	#EE4C97
