span_id_a	span_id_b
1-21	12-22
1-21	2-22
1-21	2-23
1-21	4-22
1-21	5-22
1-21	7-22
1-21	9-22
11-21	12-22
11-21	2-17
11-21	2-20
11-21	4-13
12-22	2-17
12-22	2-20
12-22	4-13
12-22	5-21
12-22	7-21
2-17	4-22
2-17	5-21
2-17	5-22
2-17	7-21
2-17	7-22
2-17	9-22
2-20	4-22
2-20	5-21
2-20	5-22
2-20	7-21
2-20	7-22
2-20	9-22
4-13	5-21
4-13	5-22
4-13	7-21
4-13	7-22
4-13	9-22
5-21	7-22
5-21	9-22
7-21	9-22
