position	left_summed	left_capped	right_summed	right_capped
1	10	8	0	0
2	16	7	0	0
3	0	0	0	0
4	8	7	0	0
5	6	5	0	0
6	0	0	0	0
7	6	5	0	0
8	0	0	0	0
9	2	2	0	0
10	0	0	0	0
11	4	4	0	0
12	1	1	0	0
13	0	0	3	3
14	0	0	0	0
15	0	0	0	0
16	0	0	0	0
17	0	0	2	2
18	0	0	0	0
19	0	0	0	0
20	0	0	2	2
21	0	0	11	5
22	0	0	21	6
23	0	0	6	6
24	0	0	8	8
