position	label
1	QM
2	PreSbj
3	Sbj
4	PostSbj
5	Neg1
6	SM
7	Neg2
8	TAM
9	OM
10	Root
11	Ext
12	STAT
13	CAUS
14	APPL
15	REC
16	PASS
17	FV
18	2P
19	Enc
20	Obj1
21	Obj2
22	PostObj
