tree_number	newick	group_spans	strengths
1	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,(25,(26,27,28,((((29,30)29-30,31)29-31,32,33)29-33,34,35,36)29-36)26-36)25-36)1-36;	1-36;25-36;26-36;29-36;29-33;29-31;29-30	2.0;2.0;1.4142;1.4142;2.0;1.4142;1.4142
2	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,((25,26,27,28,(((29,30)29-30,31)29-31,32,33)29-33)25-33,34,35,36)25-36)1-36;	1-36;25-36;25-33;29-33;29-31;29-30	2.0;2.0;1.4142;2.0;1.4142;1.4142
3	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,(25,(26,27,28,((29,(30,31,32,33)30-33)29-33,34,35,36)29-36)26-36)25-36)1-36;	1-36;25-36;26-36;29-36;29-33;30-33	2.0;2.0;1.4142;1.4142;2.0;1.4142
4	(1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,((25,26,27,28,(29,(30,31,32,33)30-33)29-33)25-33,34,35,36)25-36)1-36;	1-36;25-36;25-33;29-33;30-33	2.0;2.0;1.4142;2.0;1.4142
