span_id_a	span_id_b
1-22	12-25
1-22	12-26
1-22	12-29
1-22	12-38
1-22	12-40
1-22	12-41
1-22	2-41
1-29	12-38
1-29	12-40
1-29	12-41
1-29	2-41
