condition	class	n_unique_spans	n_maximal_laminar_families	kind	label	colour
all_tests	all	21	22	all		
without_adjacent_spans	all	20	22	all		
all_tests	morphosyntactic	9	1	class	Morphosyntactic	#BC3C29
without_adjacent_spans	morphosyntactic	9	1	class	Morphosyntactic	#BC3C29
all_tests	phonological	9	5	class	Phonological	#20845E
without_adjacent_spans	phonological	8	5	class	Phonological	#20845E
all_tests	indeterminate	5	1	class	Indeterminate	#6F99AD
without_adjacent_spans	indeterminate	5	1	class	Indeterminate	#6F99AD
all_tests	morsyn_indet	14	4	bundle	Morphosyntactic + indeterminate	#EE4C97
