position	left_summed	left_capped	right_summed	right_capped
1	0	0	0	0
2	0	0	0	0
3	0	0	0	0
4	9	9	0	0
5	0	0	0	0
6	0	0	0	0
7	9	9	0	0
8	36	18	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	0	0
12	0	0	0	0
13	0	0	0	0
14	147	22	0	0
15	7	7	0	0
16	32	15	14	7
17	0	0	0	0
18	0	0	29	22
19	0	0	0	0
20	0	0	14	14
21	0	0	0	0
22	0	0	14	14
23	0	0	14	14
24	0	0	0	0
25	0	0	0	0
26	0	0	0	0
27	0	0	0	0
28	0	0	0	0
29	0	0	14	14
30	0	0	0	0
31	0	0	0	0
32	0	0	8	8
33	0	0	0	0
34	0	0	8	8
35	0	0	0	0
36	0	0	0	0
37	0	0	21	21
38	0	0	27	21
39	0	0	27	21
40	0	0	36	21
41	0	0	9	9
42	0	0	0	0
43	0	0	0	0
44	0	0	1	1
45	0	0	0	0
46	0	0	4	4
