family_id	family_number	n_spans	newick
family_001	1	7	(1,(2,(3,(4,5,6,7,8,9,10,11,12,13,14,15,16,(17,((18,19)18-19,20)18-20)17-20,21,22,23,24,25)4-25)3-25,26)2-26,27)1-27;
family_002	2	6	(1,(2,(3,(4,5,6,7,8,9,10,11,12,13,14,15,16,((17,18)17-18,19,20)17-20,21,22,23,24,25)4-25)3-25,26)2-26,27)1-27;
family_003	3	6	(1,2,3,((4,5,6,7,8,9,10,11,12,13,14,15,16,(17,((18,19)18-19,20)18-20)17-20,21,22,23,24,25)4-25,26,27)4-27)1-27;
family_004	4	5	(1,2,3,((4,5,6,7,8,9,10,11,12,13,14,15,16,((17,18)17-18,19,20)17-20,21,22,23,24,25)4-25,26,27)4-27)1-27;
