family_id	family_number	n_spans	newick
family_001	1	4	(1,2,3,4,5,((6,(7,8)7-8,9,10,11,12)6-12,13,14,15,16,17,18,19,20)6-20)1-20;
family_002	2	3	((1,2,3,4,5,6,(7,8)7-8,9)1-9,10,11,12,13,14,15,16,17,18,19,20)1-20;
