family_id	family_number	n_spans	newick
family_001	1	5	(1,2,3,4,5,6,7,(8,(9,((10,11,12,13,14,15,16)10-16,17,18,19)10-19,20)9-20,21)8-21)1-21;
family_002	2	5	(1,2,3,4,5,6,7,(8,9,(((10,11,12,13,14,15,16)10-16,17,18,19)10-19,20,21)10-21)8-21)1-21;
