span_id_a	span_id_b
3-18	6-19
4-15	6-18
4-15	6-19
4-18	6-19
4-7	6-11
4-7	6-14
4-7	6-15
4-7	6-18
4-7	6-19
4-7	7-11
6-7	7-11
