selection	rank	family_id
consensus_all	1	family_003
most_binary	1	family_001
exemplary	1	family_003
exemplary	2	family_002
exemplary	3	family_005
exemplary	4	family_007
exemplary	5	family_001
exemplary	6	family_004
exemplary	7	family_006
