position	left_summed	left_capped	right_summed	right_capped
1	0	7	0	0
2	0	0	0	0
3	5	5	0	0
4	9	5	0	0
5	0	0	0	0
6	28	7	0	0
7	3	3	5	4
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	9	6
12	0	0	0	0
13	0	0	0	0
14	0	0	6	6
15	0	0	9	7
16	0	0	0	0
17	0	0	0	0
18	0	0	14	7
19	0	0	2	2
20	0	0	0	7
