x	left	right
0.0	8.32276973718484e-78	2.5183838197192846e-22
0.045112781954887216	4.4872365919579845e-76	5.119214248948558e-22
0.09022556390977443	2.3123241880665427e-74	1.0350457561907769e-21
0.13533834586466165	1.1388778334341268e-72	2.08156822389277e-21
0.18045112781954886	5.3612273261774e-71	4.163864684470582e-21
0.22556390977443608	2.412181427497075e-69	8.28471213902093e-21
0.2706766917293233	1.0373238911652143e-67	1.639581826770759e-20
0.3157894736842105	4.26360984200181e-66	3.2274804949042917e-20
0.3609022556390977	1.674939775310593e-64	6.319300593479789e-20
0.40601503759398494	6.288971119954708e-63	1.2306916655479345e-19
0.45112781954887216	2.2569330127922508e-61	2.383989631791426e-19
0.49624060150375937	7.741344637617472e-60	4.593400597328722e-19
0.5413533834586466	2.537890031120804e-58	8.803171045317053e-19
0.5864661654135338	7.952210393369764e-57	1.6781037792078713e-18
0.631578947368421	2.3815603327803424e-55	3.181803447902533e-18
0.6766917293233082	6.81701074957676e-54	6.000711373255636e-18
0.7218045112781954	1.8650266155577378e-52	1.1256593572114529e-17
0.7669172932330827	4.876797845606839e-51	2.100323012940908e-17
0.8120300751879699	1.2188300058206452e-49	3.897984011548631e-17
0.8571428571428571	2.911455695386883e-48	7.195630822510606e-17
0.9022556390977443	6.647156415937949e-47	1.3212121257706692e-16
0.9473684210526315	1.4505084912074002e-45	2.412965351679256e-16
0.9924812030075187	3.0252642617639113e-44	4.383333132601572e-16
1.037593984962406	6.030662480109995e-43	7.920137622631395e-16
1.0827067669172932	1.1490141926643616e-41	1.423429084582533e-15
1.1278195488721803	2.0923986339345556e-40	2.5445664704407955e-15
1.1729323308270676	3.64185060979957e-39	4.524458639853564e-15
1.218045112781955	6.05840762415773e-38	8.001921788253887e-15
1.263157894736842	9.63282162196449e-37	1.4076569840916383e-14
1.3082706766917291	1.463885841817659e-35	2.4630557052263435e-14
1.3533834586466165	2.1262756569313065e-34	4.2867335131471765e-14
1.3984962406015038	2.9518248745662428e-33	7.420849020608635e-14
1.443609022556391	3.916699689744662e-32	1.2777784603203708e-13
1.488721804511278	4.967165420147752e-31	2.188428628286206e-13
1.5338345864661653	6.020819917272814e-30	3.728070095848407e-13
1.5789473684210527	6.975274710022077e-29	6.316996102123492e-13
1.6240601503759398	7.72370466843327e-28	1.064662618712676e-12
1.6691729323308269	8.174264130154285e-27	1.7847946697304433e-12
1.7142857142857142	8.268568688384165e-26	2.9760441664470747e-12
1.7593984962406015	7.994120212180363e-25	4.935888510266394e-12
1.8045112781954886	7.38702681135712e-24	8.142657511133316e-12
1.8496240601503757	6.524201117391825e-23	1.3361088866653249e-11
1.894736842105263	5.507362583286243e-22	2.1806822787380996e-11
1.9398496240601504	4.44343328017178e-21	3.540118450376298e-11
1.9849624060150375	3.4265125091402884e-20	5.7163399746521323e-11
2.0300751879699246	2.525484132472368e-19	9.181067161085251e-11
2.075187969924812	1.7790806296029996e-18	1.466706227476756e-10
2.1203007518796992	1.1978578478266267e-17	2.330601196263889e-10
