position	left_summed	left_capped	right_summed	right_capped
1	0	2	0	0
2	0	0	0	0
3	0	0	0	0
4	5	2	0	0
5	0	0	0	0
6	2	1	1	1
7	0	0	0	0
8	0	0	0	0
9	0	0	0	0
10	0	0	0	0
11	0	0	1	1
12	0	0	0	0
13	0	0	0	0
14	0	0	1	1
15	0	0	2	2
16	0	0	0	0
17	0	0	2	2
