position	left_summed	left_capped	right_summed	right_capped
1	24	24	0	0
2	24	24	0	0
3	24	24	0	0
4	0	0	0	0
5	88	24	0	0
6	21	14	10	10
7	0	0	0	0
8	0	0	14	14
9	16	12	0	0
10	44	20	4	4
11	0	0	0	0
12	0	0	0	0
13	10	10	18	14
14	0	0	0	0
15	0	0	10	10
16	0	0	16	16
17	8	8	31	16
18	0	0	28	16
19	0	0	32	24
20	0	0	0	0
21	0	0	48	24
22	0	0	48	24
