family_id	family_number	n_spans	newick
family_001	1	8	(1,((((2,(((3,4)3-4,5)3-5,6)3-6)2-6,7,8)2-8,9,10)2-10,11,12)2-12)1-12;
family_002	2	3	(1,(2,3,(4,5,6,7,8,9,10,11,12)4-12)2-12)1-12;
