family_id	family_number	n_spans	newick
family_001	1	3	(1,2,3,4,5,6,7,((8,9,10)8-10,11)8-11,12,13)1-13;
family_002	2	2	(1,2,3,4,5,6,(7,8)7-8,9,10,11,12,13)1-13;
