span_id	left	right	size	convergence	family_frequency	labels	domain_types	synthetic	span_chart_rank	blend_colour
1-15	1	15	15	0	1	(root)	(synthetic)	True		#000000
5-15	5	15	11	1	1	free occurrence maximal	indeterminate	False	1	#6F99AD
